Jenis,Status Kamar,Nama Kost,Lokasi,Fasilitas,Rating,Diskon,Harga
Campur,Sisa 1 kamar,Kost Apik Pondok Jaya VIII Tipe C Mampang Prapatan Jakarta Selatan,Mampang Prapatan,WiFi ·Kloset Duduk ·Kasur ·Akses 24 Jam,4.8,Diskon 200rb sewa 3 bulan,Rp1.325.000
Putra,Sisa 1 kamar,Kost Singgahsini Casa Kalasa Tipe B Mampang Prapatan Jakarta Selatan,Mampang Prapatan,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,4.9,Diskon 250rb sewa 3 bulan,Rp2.675.000
Putri,Sisa 2 kamar,Kost Apik Evy Kalibata Utara Tipe A Pancoran Jakarta Selatan,Pancoran,K. Mandi Dalam ·WiFi ·Kasur ·Akses 24 Jam,4.9,Diskon 200rb sewa 3 bulan,Rp1.375.000
Campur,Sisa 1 kamar,Kost Singgahsini Richie Bangka Barat IV Tipe A Mampang Prapatan Jakarta Selatan,Mampang Prapatan,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,4.9,Diskon 250rb sewa 3 bulan,Rp2.225.000
Campur,Kost Singgahsini RR Mansion Tipe D Pancoran Jakarta Selatan,Pancoran,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,Diskon 200rb,Rp3.925.000,Rp3.725.000,(Bulan pertama)
Campur,Sisa 3 kamar,Kost Singgahsini RR Mansion Tipe C Pancoran Jakarta Selatan,Pancoran,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,Diskon 200rb,Rp4.275.000,Rp4.075.000
Campur,Sisa 1 kamar,Kost Singgahsini RR Mansion Tipe E Pancoran Jakarta Selatan,Pancoran,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,5.0,Diskon 150rb,Rp3.625.000
Campur,Sisa 1 kamar,Kost Singgahsini Vit Tipe A Mampang Prapatan Jakarta Selatan,Mampang Prapatan,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,5.0,Diskon 450rb sewa 3 bulan,Rp2.150.000
Campur,Sisa 2 kamar,Kost Singgahsini RR Mansion Tipe B Pancoran Jakarta Selatan,Pancoran,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,Diskon 200rb,Rp4.475.000,Rp4.275.000
Campur,Sisa 1 kamar,Kost Singgahsini Attahiriyah Pejaten Tipe B Pasar Minggu Jakarta Selatan,Pasar Minggu,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,4.6,Diskon 100rb,Rp2.075.000
Putri,Sisa 1 kamar,Kost Singgahsini White House Tipe A Mampang Prapatan Jakarta Selatan,Kecamatan Mampang Prapatan,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,4.6,Diskon 200rb,Rp2.605.000
Campur,Sisa 1 kamar,Kost Singgahsini Kemang 6 Tipe B Mampang Prapatan Jakarta Selatan,Kecamatan Mampang Prapatan,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,4.9,Diskon 150rb,Rp2.525.000
Campur,Sisa 1 kamar,Kost Singgahsini Vit Tipe B Mampang Prapatan Jakarta Selatan,Mampang Prapatan,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,Diskon 200rb,Rp3.825.000,Rp3.625.000
Campur,Sisa 1 kamar,Kost Singgahsini Nathan Kemang Utara Tipe A Mampang Prapatan Jakarta Selatan,Mampang Prapatan,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,Diskon 200rb,Rp3.425.000,Rp3.225.000
Campur,Sisa 1 kamar,Kost Singgahsini RR Mansion Tipe A Pancoran Jakarta Selatan,Pancoran,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,Diskon 200rb,Rp5.025.000,Rp4.825.000
Kos Andalan,Campur,Kost Ekslusif Edomora Residence Kebayoran Baru Jakarta Selatan,Kecamatan Kebayoran Baru,K. Mandi Dalam ·WiFi ·AC ·Kloset Duduk ·Kasur ·Akses 24 Jam,5.0,Rp3.600.000,/bulan
Kos Andalan,Campur,Kost 37 Syariah Tipe B Pancoran Jakarta Selatan,Pancoran,K. Mandi Dalam ·Kloset Duduk ·Kasur ·Akses 24 Jam,3.3,Rp1.300.000,/bulan
